"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 13:17:04 GMT 2022","Tue Jun 14 13:17:14 GMT 2022","10076","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_accept_the_cookies",""
"passed","Tue Jun 14 13:17:16 GMT 2022","Tue Jun 14 13:17:17 GMT 2022","895","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_no_data_registration",""
"passed","Tue Jun 14 13:18:22 GMT 2022","Tue Jun 14 13:18:25 GMT 2022","2370","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_logout",""
"passed","Tue Jun 14 13:18:01 GMT 2022","Tue Jun 14 13:18:09 GMT 2022","7883","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_modifying_existing_article",""
"passed","Tue Jun 14 13:17:37 GMT 2022","Tue Jun 14 13:17:40 GMT 2022","3127","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_posting_a_comment",""
"passed","Tue Jun 14 13:18:20 GMT 2022","Tue Jun 14 13:18:21 GMT 2022","1125","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_downloading_data_to_file",""
"passed","Tue Jun 14 13:17:30 GMT 2022","Tue Jun 14 13:17:36 GMT 2022","5983","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_browsing_the_pages",""
"passed","Tue Jun 14 13:17:19 GMT 2022","Tue Jun 14 13:17:21 GMT 2022","2363","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_valid_user_registration",""
"passed","Tue Jun 14 13:17:42 GMT 2022","Tue Jun 14 13:17:59 GMT 2022","17335","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_data_input_from_file",""
"passed","Tue Jun 14 13:17:23 GMT 2022","Tue Jun 14 13:17:23 GMT 2022","764","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_login_as_registered_user",""
"passed","Tue Jun 14 13:17:25 GMT 2022","Tue Jun 14 13:17:28 GMT 2022","2849","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_listing_the_article",""
"passed","Tue Jun 14 13:18:11 GMT 2022","Tue Jun 14 13:18:18 GMT 2022","7306","Conduit_vizsgaremek","test_conduit","TestConduit","","","test_deleting_an_article",""
